pitcher,pitches,avgeffectvelo,avgvelo,avgspinrate,avghorzbreak,avgvertbreak
"Sims, Lucas",373,81.20214477211800,82.33378016085790,3250.5469168900800,-12.485147453083100,3.455227882037530
"Lugo, Seth",326,77.46993865030670,78.9153374233129,3243.834355828220,-12.13840490797550,17.456687116564400
"Pressly, Ryan",356,80.87415730337080,81.88061797752810,3237.174157303370,-14.345730337078700,13.480112359550600
"Hahn, Jesse",110,76.75636363636370,77.88909090909090,3162.146788990830,-15.545454545454500,15.322909090909100
"Richards, Garrett",310,76.50387096774190,78.6248387096774,3159.899022801300,-10.957161290322600,19.231741935483900
"Maples, Dillon",80,83.35250000000000,84.12250000000000,3156.9625,-13.155,14.758500000000000
"May, Dustin",252,86.64523809523810,86.50198412698410,3118.2341269841300,-12.377142857142900,6.008571428571430
"Stratton, Chris",429,80.35967365967370,80.15734265734260,3114.5477855477900,-15.645594405594400,8.502937062937060
"Venditte, Pat",10,64.18000000000000,71.48000000000000,3112.6666666666700,-15.672,-4.9560000000000000
"Stephenson, Robert",286,81.16678321678320,81.47972027972020,3054.3426573426600,-10.455104895104900,6.631468531468530
"Thornton, Trent",229,79.60655021834060,80.09868995633190,3040.6593886462900,-9.13834061135371,14.034235807860300
"Matzek, Tyler",96,80.13437500000000,80.53125000000000,3039.8854166666700,9.708750000000000,13.333750000000000
"Morton, Charlie",1494,79.95729585006690,80.33493975903620,3025.6633199464500,-16.753012048192800,9.639437751004020
"Morgan, Adam",52,77.71538461538460,78.46923076923080,2990.519230769230,9.03,6.311538461538460
"Maton, Phil",406,76.5490147783251,76.13522167487690,2986.5467980295600,-18.793596059113300,9.803645320197050
"Antone, Tejay",279,79.34193548387100,79.5720430107527,2983.935483870970,-17.680860215053800,10.537204301075300
"Espino, Paolo",454,70.55748898678420,71.10704845814980,2982.103524229080,-12.831806167400900,18.734273127753300
"Glasnow, Tyler",728,83.7973901098901,82.94656593406590,2973.4436813186800,-6.2088461538461500,17.37313186813190
"Raley, Brooks",176,77.64829545454550,78.96534090909090,2962.5,15.405,6.120681818181820
"Chatwood, Tyler",82,80.24756097560970,80.64024390243900,2932.243902439020,-11.097073170731700,11.048780487804900
"Paredes, Enoli",21,80.32380952380950,80.85238095238100,2931.904761904760,-13.794285714285700,8.94857142857143
"Baragar, Caleb",48,79.88125,79.48958333333330,2923.625,12.362500000000000,6.650000000000000
"Poteet, Cody",77,78.15064935064940,79.24805194805200,2921.6103896103900,-12.652987012987000,8.855064935064940
"Plutko, Adam",125,76.27920000000000,76.93360000000000,2918.2,-11.33664,10.203840000000000
"Valdez, Framber",1250,77.94760000000000,79.00232000000000,2917.6624,13.364160000000000,14.881152000000000
"Voth, Austin",479,77.86263048016700,78.49123173277660,2912.847280334730,-14.138956158663900,7.861377870563680
"Neverauskas, Dovydas",121,63.15702479338840,82.1413223140496,2907.391304347830,-6.298512396694210,12.706115702479300
"Johnson, Pierce",913,83.46385542168670,84.40043811610070,2906.631982475360,-11.43824753559690,4.928411829134720
"Coonrod, Sam",7,58.55714285714290,82.40000000000000,2902.0,-13.354285714285700,10.14857142857140
"Paulino, David",11,76.5909090909091,77.18181818181820,2884.7272727272700,-10.93090909090910,17.007272727272700
"Sceroler, Mac",24,77.62083333333330,78.25833333333330,2884.7083333333300,-10.13,15.330000000000000
"Burnes, Corbin",579,81.37461139896370,81.18221070811750,2880.8737024221500,-11.233989637305700,7.5796891191709800
"Holder, Jonathan",14,60.792857142857100,77.56428571428570,2880.0,-13.44857142857140,7.028571428571430
"Urías, Julio",1372,80.27943107221010,81.3654996353027,2879.315098468270,15.865364431486900,0.9625364431486880
"Hunter, Tommy",110,81.07727272727270,82.45181818181820,2868.287037037040,-12.916363636363600,5.7796363636363700
"Smith, Josh A.",112,61.86785714285720,77.56607142857150,2865.0222222222200,-16.511785714285700,7.225714285714290
"Sadler, Casey",310,79.50193548387100,80.00419354838710,2864.583870967740,-11.508774193548400,9.13316129032258
"Newcomb, Sean",148,77.67500000000000,78.9581081081081,2860.7297297297300,9.953513513513510,16.722162162162200
"Carrasco, Carlos",111,75.81171171171170,82.95225225225220,2854.7227722772300,-9.482162162162160,6.833513513513510
"Campbell, Paul",88,77.22613636363640,78.97954545454540,2854.183908045980,-11.824090909090900,10.126363636363600
"Misiewicz, Anthony",356,80.25898876404500,80.97078651685400,2852.8483146067400,11.059887640449400,7.210786516853930
"Rodríguez, Dereck",28,75.19642857142860,78.10714285714290,2851.925925925930,-8.682857142857140,16.954285714285700
"Reyes, Alex",175,79.27428571428570,80.324,2844.7714285714300,-8.660571428571430,19.63405714285710
"Alzolay, Adbert",149,69.2765100671141,80.6536912751678,2842.0703125,-11.356510067114100,1.1476510067114100
"Contreras, Roansy",5,79.2,79.9,2837.2,-5.784000000000000,16.68
"Civale, Aaron",563,75.35985790408520,76.4046181172291,2829.9376114082000,-10.538685612788600,15.71957371225580
"Hendricks, Kyle",505,70.60039603960400,72.74851485148520,2829.20281124498,-14.715089108910900,12.267326732673300
"Hernandez, Darwinzon",45,79.66444444444440,79.52222222222220,2829.2,15.429333333333300,8.000000000000000
"Wainwright, Adam",1454,72.69752407152680,73.51513067400280,2825.262612301310,-16.592022008253100,14.562255845942200
"Nance, Tommy",123,84.83983739837400,85.36747967479670,2821.6341463414600,-9.103414634146350,13.300487804878000
"Gray, Sonny",757,79.59194187582560,79.90449141347430,2821.5918097754300,-14.457701453104400,13.255482166446500
"Brubaker, JT",312,79.29391025641030,79.875641025641,2820.448717948720,-7.051538461538460,8.291153846153840
"Pruitt, Austin",23,80.1304347826087,81.3913043478261,2820.4347826087000,-6.803478260869560,10.685217391304300
"Adams, Chance",76,59.45000000000000,78.5078947368421,2819.655172413790,-16.965789473684200,7.8821052631579000
"Verlander, Justin",1,78.0,78.9,2819.0,-9.120000000000000,15.48
"Peters, Dillon",76,74.39473684210530,74.88552631578950,2816.5789473684200,9.131052631578950,12.918947368421100
"Ottavino, Adam",21,79.82857142857140,79.23333333333330,2809.3333333333300,-15.96,8.48
"Thornburg, Tyler",32,64.16875000000000,76.60625000000000,2792.037037037040,-9.93,15.292500000000000
"Turley, Nik",166,66.68795180722890,76.55602409638550,2790.72602739726,12.210361445783100,15.690361445783100
"Hill, Cam",50,75.3,78.37000000000000,2790.2708333333300,-9.136800000000000,17.860800000000000
"Musgrove, Joe",810,80.91345679012350,81.87740740740740,2789.4276885043300,-10.901777777777800,13.516148148148200
"Zuber, Tyler",60,74.00333333333330,80.15333333333330,2786.6785714285700,-12.426000000000000,10.058000000000000
"Sandoval, Patrick",190,77.39000000000000,78.3331578947368,2786.636842105260,6.440210526315790,12.742105263157900
"Yardley, Eric",211,65.32464454976300,72.97156398104260,2784.5947368421100,-15.541421800947900,-11.210616113744100
"Javier, Cristian",2,74.95,75.85,2783.0,-10.200000000000000,11.460000000000000
"Johnson, DJ",20,80.47,80.59,2781.35,-11.166,16.224000000000000
"Staumont, Josh",510,81.5086274509804,81.50686274509800,2781.225490196080,-9.62541176470588,13.381411764705900
"Abreu, Bryan",136,85.53088235294120,86.12132352941180,2781.205882352940,-7.546764705882350,9.864705882352950
"Brewer, Colten",172,72.44767441860470,80.81453488372090,2778.716129032260,-10.75325581395350,14.987441860465100
"Diaz, Jhonathan",4,73.95000000000000,74.4,2765.25,9.78,13.920000000000000
"Lindblom, Josh",111,71.05045045045050,71.65315315315320,2763.7927927927900,-15.951351351351300,13.362162162162200
"Biagini, Joe",25,75.64800000000000,76.53200000000000,2760.96,-5.3376,15.9264
"Suarez, José",387,77.040108401084,78.34599483204140,2758.8598901098900,10.049922480620200,6.705116279069770
"Roark, Tanner",161,71.69068322981370,73.06832298136650,2758.8,-11.654161490683200,15.284720496894400
"Hembree, Heath",40,81.465,81.25000000000000,2757.125,-12.741000000000000,8.424000000000000
"McHugh, Collin",30,74.14333333333340,74.30333333333330,2755.9666666666700,-13.448000000000000,13.276
"Rusin, Chris",3,77.53333333333330,78.26666666666670,2755.0,7.360000000000000,1.1600000000000000
"James, Josh",23,82.18695652173910,82.42173913043480,2746.521739130440,-5.8017391304347800,14.66608695652170
"Diplán, Marcos",131,81.67175572519080,80.97251908396950,2745.1526717557300,-7.333740458015260,7.574656488549620
"Hill, Rich",1203,70.95078969243560,71.97231920199500,2743.18038237739,19.39122194513720,12.370274314214500
"Bergen, Travis",83,75.93253012048190,80.33975903614460,2740.1392405063300,7.967710843373490,8.917590361445780
"Smith, Drew",59,77.13389830508480,77.83898305084750,2739.0677966101700,-13.88542372881360,9.48813559322034
"Gsellman, Robert",25,72.864,79.3,2733.2608695652200,-10.214400000000000,10.7856
"Taillon, Jameson",451,80.90731707317070,80.68824833702880,2732.376940133040,-10.206119733924600,12.62953436807100
"García, Yimi",252,82.29722222222220,83.48888888888890,2731.0,-10.797142857142900,2.9719047619047600
"Strasburg, Stephen",137,79.39635036496350,79.39270072992700,2729.8529411764700,-15.268029197080300,8.017226277372260
"Lakins Sr., Travis",196,79.7760204081633,80.58520408163270,2723.168367346940,-11.820612244898000,11.77163265306120
"Jax, Griffin",131,79.29236641221370,79.88854961832060,2721.3664122137400,-5.945038167938930,13.210076335877900
"McKay, David",4,76.3,76.075,2719.5,-15.810000000000000,6.720000000000000
"Marshall, Evan",257,81.57704280155640,82.31284046692610,2714.9727626459100,-8.710038910505840,9.92591439688716
"Suero, Wander",84,76.25833333333330,78.38095238095240,2714.390243902440,-10.374285714285700,11.402857142857100
"Allen, Logan",102,76.44901960784310,76.97450980392160,2712.4803921568600,9.257647058823530,13.46823529411770
"González, Gio",118,76.23389830508480,76.65000000000000,2708.2033898305100,11.94508474576270,14.38169491525420
"Rogers, Taylor",15,79.34666666666670,80.05333333333330,2706.866666666670,14.104,-0.14400000000000000
"Fulmer, Carson",111,81.87657657657660,82.0054054054054,2706.801801801800,-6.47135135135135,6.30054054054054
"Flexen, Chris",423,76.51323877068560,77.18652482269510,2705.5342789598100,-7.889645390070920,12.944397163120600
"Soria, Joakim",48,70.10833333333340,70.49583333333330,2704.6666666666700,-11.787500000000000,17.605
"Scherzer, Max",402,76.71815920398010,76.96144278606960,2701.86783042394,-13.667462686567200,8.192537313432840
"Tomlin, Josh",383,74.59347258485630,76.43942558746740,2698.262599469500,-4.355404699738900,6.3036031331592700
"Tice, Ty",26,79.51923076923080,79.91153846153850,2693.769230769230,-12.590769230769200,7.043076923076920
"Brice, Austin",240,80.51791666666670,81.78291666666670,2693.5625,-7.798000000000000,0.8610000000000000
"Smeltzer, Devin",36,66.71666666666660,73.4111111111111,2691.242424242420,13.000000000000000,11.746666666666700
"Andriese, Matt",160,79.09625000000000,80.04875000000000,2689.89375,-5.9385000000000000,13.676250000000000
"Wright, Kyle",165,80.30060606060610,82.17212121212120,2689.462962962960,-12.462545454545500,7.041454545454550
"Baz, Shane",41,82.55609756097560,82.51463414634150,2688.317073170730,-8.06341463414634,14.560975609756100
"Avila, Pedro",9,73.85555555555560,74.63333333333330,2685.3333333333300,-11.16,15.533333333333300
"Fried, Max",1062,73.82956685499060,74.46186440677960,2684.3512241054600,9.008135593220340,15.94079096045200
"Palumbo, Joe",25,79.976,80.45200000000000,2684.24,14.9376,7.848000000000000
"Arrieta, Jake",322,79.58416149068320,80.59223602484470,2683.8291925465800,-12.157267080745300,10.086708074534200
"Yamamoto, Jordan",29,68.24827586206900,74.07241379310350,2682.3333333333300,-12.720000000000000,14.238620689655200
"García, Deivi",113,74.42212389380530,75.49557522123890,2680.0535714285700,-7.336991150442480,16.68212389380530
"Fiers, Mike",127,71.10629921259840,72.5944881889764,2677.551181102360,-10.575118110236200,15.953385826771700
"Teheran, Julio",54,72.15,72.33888888888890,2676.314814814820,-12.37555555555560,4.264444444444440
"Rasmussen, Drew",67,81.03731343283580,81.14925373134330,2674.5522388059700,-5.276417910447760,11.631044776119400
"Yajure, Miguel",60,78.54000000000000,79.07833333333330,2669.9333333333300,-7.996000000000000,15.646000000000000
"Anderson, Shaun",7,82.3142857142857,82.57142857142860,2668.1428571428600,-6.514285714285710,10.577142857142900
"Loáisiga, Jonathan",305,86.40557377049180,86.08786885245900,2662.8688524590200,-11.446426229508200,-0.6633442622950820
"Kelley, Trevor",12,78.36666666666670,78.275,2662.25,-11.7,4.6
"Eickhoff, Jerad",55,74.67818181818180,75.00363636363640,2658.9454545454500,-6.857454545454550,9.229090909090910
"Luetge, Lucas",188,73.81702127659570,74.50159574468080,2657.186170212770,12.363191489361700,15.418085106383000
"Holmes, Clay",164,81.86280487804880,82.40426829268300,2656.237804878050,-7.510975609756100,13.588536585365900
"Wells, Tyler",36,78.58055555555560,78.83055555555560,2653.3888888888900,-7.323333333333330,7.866666666666670
"Turnbull, Spencer",97,79.08762886597940,79.61237113402060,2650.463917525770,-11.346804123711300,12.29938144329900
"Lockett, Walker",51,80.87254901960790,80.85098039215690,2644.5098039215700,-8.548235294117650,6.138823529411770
"Herget, Jimmy",107,72.27850467289720,74.72710280373830,2641.169811320760,-15.016822429906500,-3.838878504672900
"deGrom, Jacob",34,85.21764705882350,83.97647058823530,2640.4411764705900,-7.267058823529410,4.411764705882350
"Ponce de Leon, Daniel",172,75.09825581395350,77.55930232558140,2640.285714285710,-7.844651162790700,15.480000000000000
"Woodruff, Brandon",568,83.98855633802820,83.75246478873240,2639.2658450704200,-4.40725352112676,11.940422535211300
"Bush, Matt",12,78.25833333333330,78.91666666666670,2638.3333333333300,-11.940000000000000,10.35
"McClanahan, Shane",359,83.5259052924791,82.74289693593320,2635.891364902510,6.2162674094707500,10.31933147632310
"Wheeler, Zack",438,82.05867579908680,81.1579908675799,2632.705479452060,-10.064657534246600,11.855068493150700
"Leibrandt, Brandon",18,76.33333333333330,75.98333333333330,2632.1666666666700,9.0,10.220000000000000
"De Jong, Chase",218,76.66788990825690,77.7311926605505,2626.6284403669700,-7.89743119266055,12.166788990825700
"Bolaños, Ronald",30,79.03333333333330,78.67333333333330,2626.0333333333300,-12.220000000000000,1.508
"Heasley, Jon",67,79.25074626865670,80.03432835820890,2624.3582089552200,-5.580895522388060,12.132537313432800
"Norris, Daniel",1,74.8,76.2,2624.0,7.68,11.64
"Biddle, Jesse",59,77.9457627118644,78.1457627118644,2623.7118644067800,11.351186440678000,14.605423728813600
"Gonsolin, Tony",136,79.58602941176470,80.77647058823530,2622.0296296296300,-5.269411764705880,13.772647058823500
"Keller, Mitch",323,77.91671826625390,78.4616099071207,2616.3188854489200,-9.133374613003090,14.478390092879300
"Darvish, Yu",164,71.71768292682930,72.00975609756100,2615.4451219512200,-10.391707317073200,14.907073170731700
"Germán, Domingo",536,80.8333955223881,81.10317164179100,2613.7276119403000,-1.4444776119403000,3.87089552238806
"Seabold, Connor",2,76.5,76.75,2613.0,-11.580000000000000,7.5600000000000000
"Smith, Caleb",167,76.3239520958084,77.83592814371260,2611.590361445780,6.688383233532930,6.111377245508980
"Maeda, Kenta",100,75.693,76.401,2611.27,-9.469200000000000,11.0664
"Rodriguez, Nivaldo",58,80.59137931034480,82.77758620689650,2608.59649122807,-4.640689655172410,5.73103448275862
"Stewart, Kohl",9,68.76666666666670,77.47777777777780,2607.125,-14.746666666666700,4.786666666666670
"Cleavinger, Garrett",3,75.86666666666670,76.13333333333330,2606.6666666666700,12.48,12.880000000000000
"Sánchez, Ricardo",20,78.625,78.51500000000000,2606.65,7.218000000000000,7.23
"Guerra, Junior",278,81.02841726618710,81.1730215827338,2604.927797833940,-5.122877697841720,9.10748201438849
"Bubic, Kris",527,78.17115749525620,78.46869070208730,2604.480988593160,8.766148007590140,13.94777988614800
"Nittoli, Vinny",1,83.3,82.3,2604.0,-8.76,12.0
"Farrell, Luke",56,76.8375,77.22500000000000,2601.8571428571400,-5.230714285714290,13.639285714285700
"Bacus, Dakota",12,76.71666666666670,77.55000000000000,2601.75,-12.630000000000000,11.830000000000000
"Steele, Justin",148,77.42297297297300,79.08445945945950,2601.2758620689700,12.12081081081080,9.012972972972980
"Szapucki, Thomas",5,77.0,77.54,2599.6,9.432,12.0
"Mahle, Tyler",8,82.275,81.57500000000000,2598.875,-5.13,-0.7800000000000000
"Lowther, Zac",89,75.27640449438200,75.30786516853930,2591.258426966290,13.476404494382000,14.404044943820200
"Bailey, Brandon",20,78.095,79.00000000000000,2591.05,-4.818,4.59
"Nelson, Nick",37,79.51621621621620,79.83513513513520,2590.162162162160,-9.17513513513514,13.634594594594600
"Urquidy, José",213,76.57887323943660,77.28779342723000,2590.1032863849800,-9.264225352112670,13.910985915493000
"Blackburn, Paul",86,77.50000000000000,78.85581395348840,2588.494117647060,-7.124651162790700,14.993023255814000
"Porcello, Rick",50,74.14,74.93,2588.04,-10.104000000000000,5.152800000000000
"Erlin, Robbie",126,74.75793650793650,75.94920634920640,2586.84,7.138095238095240,15.260952380952400
"Strahm, Matt",115,78.96000000000000,82.28782608695650,2584.288288288290,5.8257391304347800,0.07095652173913050
"Zimmermann, Bruce",149,81.13557046979870,81.87114093959730,2583.8986486486500,1.1621476510067100,6.113557046979860
"Rucker, Michael",98,80.92040816326530,81.30408163265310,2582.877551020410,-15.510612244898000,8.488163265306120
"Gray, Jon",215,76.24837209302320,76.47953488372100,2580.911214953270,-10.89488372093020,8.294511627906980
"Lyles, Jordan",837,79.9884109916368,80.07025089605740,2576.805988023950,-6.664372759856630,14.597132616487500
"Kelly, Merrill",527,81.119165085389,81.2612903225806,2575.011385199240,-9.168956356736240,10.044250474383300
"Mengden, Daniel",21,72.77142857142860,72.96666666666670,2573.3333333333300,-11.702857142857100,15.21142857142860
"Patiño, Luis",66,78.45151515151510,77.76212121212120,2572.060606060610,-8.958181818181820,5.200000000000000
"Ramirez, Noé",293,76.24061433447100,76.74641638225260,2571.9863481228700,-12.464027303754300,0.45911262798634800
"Ramírez, Yefry",2,80.05,79.65,2571.5,-5.82,1.44
"Gutierrez, Vladimir",328,77.69817073170730,77.69237804878050,2570.359756097560,-14.973292682926800,7.326585365853660
"Green, Chad",583,85.447512864494,84.96363636363630,2570.0960548885100,-6.985728987993140,3.6613379073756400
"Crichton, Stefan",252,76.84444444444440,77.7218253968254,2569.637450199200,-13.030000000000000,7.062380952380950
"Mikolas, Miles",125,76.38,76.5928,2568.584,-9.574080000000000,15.234240000000000
"Heaney, Andrew",743,78.49515477792730,79.2820995962315,2565.313593539700,6.602099596231500,3.3281830417227400
"Harris, Will",104,80.65961538461540,80.48750000000000,2563.596153846150,-11.218846153846200,14.055000000000000
"Morejon, Adrian",82,79.82682926829270,80.49878048780490,2563.548780487810,13.741463414634100,6.883902439024390
"Winkler, Dan",78,82.6871794871795,82.20641025641030,2562.346153846150,-9.006153846153840,2.063076923076920
